Area,Municipality,Positive Cases,Code
Special ward area,Adachi,4695,13121
Special ward area,Arakawa,1570,13118
Special ward area,Itabashi,3600,13119
Special ward area,Edogawa,3785,13123
Special ward area,Ota,5162,13111
Special ward area,Katsushika,2750,13122
Special ward area,Kita,2173,13117
Special ward area,Koto,3233,13108
Special ward area,Shinagawa,3000,13109
Special ward area,Shibuya,2984,13113
Special ward area,Shinjuku,6094,13104
Special ward area,Suginami,4041,13115
Special ward area,Sumida,1907,13107
Special ward area,Setagaya,7426,13112
Special ward area,Taito,1898,13106
Special ward area,Chuo,1718,13102
Special ward area,Chiyoda,549,13101
Special ward area,Toshima,2389,13116
Special ward area,Nakano,3423,13114
Special ward area,Nerima,4224,13120
Special ward area,Bunkyo,1577,13105
Special ward area,Minato,3544,13103
Special ward area,Meguro,2829,13110
Tama area,Akishima,507,13207
Tama area,Akiruno,345,13228
Tama area,Inagi,330,13225
Tama area,Ome,461,13205
Tama area,Okutama,17,13308
Tama area,Kiyose,236,13221
Tama area,Kunitachi,248,13215
Tama area,Koganei,536,13210
Tama area,Kokubunji,437,13214
Tama area,Kodaira,595,13211
Tama area,Komae,328,13219
Tama area,Tachikawa,760,13202
Tama area,Tama,531,13224
Tama area,Chofu,1139,13208
Tama area,Nishitokyo,969,13229
Tama area,Hachioji,1921,13201
Tama area,Hamura,220,13227
Tama area,Higashikurume,368,13222
Tama area,Higashimurayama,457,13213
Tama area,Higashiyamato,255,13220
Tama area,Hino,621,13212
Tama area,Hinodemachi,55,13305
Tama area,Hinoharamura,4,13307
Tama area,Fuchu,1043,13206
Tama area,Fussa,314,13218
Tama area,Machida,1707,13209
Tama area,Mizuhomachi,107,13303
Tama area,Mitaka,972,13204
Tama area,Musashino,766,13203
Tama area,Musahimurayama,229,13223
Island area,Aogashima,0,13402
Island area,Oshima,7,13361
Island area,Ogasawara,3,13421
Island area,Kozushimamura,1,13364
Island area,Toshimamura,0,13362
Island area,Niijimamura,0,13363
Island area,Hachijomachi,7,13401
Island area,Mikurajimamura,1,13382
Island area,Miyakemura,4,13381
